uniqueID,IDALL,All_services_average_percent_transf,All_services_average,Impact of intensification on the availability of: Food [ratio of treatment/control: intercrop/rotation:solecrop],Impact of intensification on the availability of: Freshwater/drinking water,Impact of intensification on the availability of: Fiber,Impact of intensification on the availability of: Biochemicals,Impact of intensification on: Genetic Resources/ diversity,"Impact of intensification on: 
 Climate regulation (reduction in GHG emissions - reduction = good)","Impact of intensification on: 
 Disease regulation (<1 = good, reduction in disease)","Impact of intensification on: 
 Weed/pest regulation (reduction in weed/pest biomass or weed dry matter)","Impact of intensification on: 
 Water regulation (e.g. runoff, water use efficiency, infiltration)","Impact of intensification on: 
 Water purification",Impact of intensification on: ES supporting Soil formation/flood prevention,Impact of intensification on: ES Supporting Nutrient cycling,"Impact of intensification on: 
 ES supporting Primary production (e.g. total biomass)","Impact of intensification on: 
 Biodiversity Species: occurrence/abundance - Diversity, composition,Abundance, behaviour","Impact of intensification on: 
 Biodiversity- Ecosystem ondition/ecosystem quality","Impact of intensification on: 
 Biodiversity- Habitat (Land sparing)","Soil organic carbon (linked to carbon sequestration, primary productivity, biodiversity, nutrient cycling, water formation, soil stability: https://doi.org/10.1016/B978-0-12-811687-6.00001-8)",Nonecon_wellbeing_average,"Impact of intensification on: natural capital (land, water resources, livestock)","Impact of intensification on: 
 Health",Impact of intensification on: Food security,"Impact of intensification on: 
 Justice",Impacts of intensification on: Property rights,Employment,"Combined 
 ecological-social outcome"
275,567,15.99928575,1.159992857,1.362573099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.957412616,NA,NA,NA,NA,0.995,0.995,NA,NA,NA,NA,,Mix-Mix
278,575,17.93421634,1.179342163,1.183908046,NA,NA,NA,NA,1.037209302,NA,NA,1.224770642,NA,NA,1.265536723,1.185286104,NA,NA,NA,NA,1.24,1.24,NA,NA,NA,NA,,Win-Mix
280,582,96.24923925,1.962492393,2.99312147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1556586,2.5636227,NA,NA,NA,1.1375668,1.0659115,NA,NA,1.6392857,0.4925373,NA,,Win-Mix
281,582,44.5514405,1.445514405,1.55517902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1384703,1.9631174,NA,NA,NA,1.1252909,1.2851812,NA,NA,1.9285714,0.641791,NA,,Win-Mix
282,582,73.972606,1.73972606,2.73558914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1094273,2.0161124,NA,NA,NA,1.0977754,3.1714015,NA,NA,4.3125,2.030303,NA,,Win-Win
283,582,42.342474,1.42342474,1.82935376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0700004,1.7262985,NA,NA,NA,1.0680463,3.10132575,NA,NA,4.6875,1.5151515,NA,,Win-Win
284,582,170.1291028,2.701291028,5.34979461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08854,3.276748,NA,NA,NA,1.0900815,4,NA,NA,Positive,4,NA,,Win-Win
285,582,113.13213,2.1313213,4.2351908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0843932,2.1188039,NA,NA,NA,1.0868973,2.5,NA,NA,Positive,2.5,NA,,Win-Win
286,583,-12.7457705,0.872542295,0.74508459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.9892857,NA,1.3,0.6785714,NA,NA,,Mix-Mix
287,583,17.5811615,1.175811615,0.85162323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,0.76785715,NA,1,0.5357143,NA,NA,,Mix-Mix
288,583,10.69385,1.1069385,0.963877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,1.4392857,NA,1.7,1.1785714,NA,NA,,Mix-Mix
289,583,84.06577825,1.840657783,0.89379653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4444444,2.0243902,NA,NA,NA,1,1.44166665,NA,1.55,1.3333333,NA,NA,,Mix-Win
290,583,76.20274025,1.762027403,0.84019851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0555556,2.097561,NA,NA,NA,1.0547945,1.0277778,NA,1,1.0555556,NA,NA,,Mix-Mix
291,583,5.1226325,1.051226325,1.10245265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1.4292453,NA,1.5,1.3584906,NA,NA,,Mix-Win
292,583,15.47640233,1.154764023,1.04004967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,0.9242424,1.1061321,NA,1.25,0.9622642,NA,NA,,Mix-Mix
293,583,-3.4151,0.965849,0.931698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1.15,NA,1.3,1,NA,NA,,Mix-Mix
297,599,40.6928214,1.406928214,1.406928214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3825,1.3825,NA,NA,NA,NA,,Win-Mix
298,609,-0.1589905,0.998410095,0.96955128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.153497,1.0016461,NA,NA,NA,0.868946,1.14,1.14,NA,NA,NA,NA,,Mix-Mix
299,613,2.156404064,1.021564041,1.112781955,NA,NA,NA,NA,NA,NA,NA,0.992537201,NA,NA,0.959372966,NA,NA,NA,NA,NA,1.033457249,1.033457249,NA,NA,NA,NA,,Mix-Win
303,618,9.136724667,1.091367247,1.16259274,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.111509,NA,NA,NA,NA,NA,1.0991167,1.1608008,1.0374326,NA,NA,NA,,Mix-Win
310,626,17.48184877,1.174818488,1.028499581,NA,NA,NA,NA,NA,NA,1.364705882,NA,NA,NA,NA,NA,NA,NA,NA,1.13125,1.043253341,1.043253341,NA,NA,NA,NA,,Win-Win
311,626,43.99288902,1.43992889,1.279128248,NA,NA,NA,NA,NA,NA,1.681283422,NA,NA,NA,NA,NA,NA,NA,NA,1.359375,1.385831298,1.385831298,NA,NA,NA,NA,,Win-Win
312,631,16.125175,1.16125175,1.1389157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1835878,NA,NA,NA,NA,1.4975,1.4975,NA,NA,NA,NA,,Win-Mix
314,647,-27.027483,0.72972517,0.72972517,NA,NA,NA,NA,NA,NA,Positive,NA,NA,Positive,NA,NA,NA,NA,NA,NA,1.143333333,1.143333333,Positive,Positive,NA,NA,,Mix-Win
315,647,-30.489355,0.69510645,0.69510645,NA,NA,NA,NA,NA,NA,Positive,NA,NA,Positive,NA,NA,NA,NA,NA,NA,1.465459664,1.25,1.680919328,Positive,NA,NA,,Mix-Win
316,666,1.5333585,1.015333585,1.03066717,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62,1.62,NA,Positive,NA,NA,,Mix-Win
317,668,25.403226,1.25403226,1.25403226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.481111,1.481111,NA,NA,NA,NA,,Win-Mix
320,673,11.92686065,1.119268606,1.124417178,NA,NA,NA,NA,1.108695652,NA,NA,NA,NA,NA,1.179058598,NA,NA,NA,NA,1.064902998,1.066666667,NA,1.066666667,NA,NA,NA,,Win-Mix
323,682,22.72558658,1.227255866,1.322192711,NA,NA,NA,NA,1.276964184,NA,NA,1.162125341,NA,NA,NA,1.315295601,NA,NA,NA,1.059701493,1.454545455,1.454545455,NA,NA,NA,NA,,Win-Win
324,699,70.7834525,1.707834525,1.7,NA,NA,NA,NA,NA,NA,NA,1.597645815,NA,1.82585776,NA,NA,NA,NA,NA,NA,1.633333333,1.633333333,NA,NA,NA,NA,,Win-Win
334,711,61.86813187,1.618681319,1.618681319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,1.10000,NA,NA,NA,,Win-Mix
340,727,-6.315396114,0.936846039,0.936846039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5075,1.5075,NA,NA,NA,NA,,Lose-Win
341,731,25.52948399,1.25529484,1.197006613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.313583067,NA,NA,NA,NA,1.39,1.39,NA,NA,NA,NA,,Win-Win
348,742,19.08072647,1.190807265,1.343625498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.241269841,0.987526455,NA,NA,NA,NA,1.443684211,1.66,1.227368421,NA,NA,NA,,Win-Win
349,742,29.97982267,1.299798227,1.681938911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.231746032,0.985709737,NA,NA,NA,NA,1.4775,1.695,1.26,NA,NA,NA,,Win-Win
350,742,28.38417691,1.283841769,1.347830899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.511111111,0.992583297,NA,NA,NA,NA,1.6975,1.695,1.70,NA,NA,NA,,Win-Win
351,744,23.875,1.23875,1.3979,NA,NA,NA,NA,NA,NA,1.0796,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,1.54,NA,NA,NA,NA,,Win-Mix
352,744,39.78,1.3978,1.5107,NA,NA,NA,NA,NA,NA,1.2849,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,1.68,NA,NA,NA,NA,,Win-Mix
353,744,31.87,1.3187,1.4245,NA,NA,NA,NA,NA,NA,1.2129,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,1.59,NA,NA,NA,NA,,Win-Mix
354,744,24.905,1.24905,1.4178,NA,NA,NA,NA,NA,NA,1.0803,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,NA,NA,NA,NA,,Win-Mix
355,744,28.87,1.2887,1.3897,NA,NA,NA,NA,NA,NA,1.1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,1.54,NA,NA,NA,NA,,Win-Mix
358,757,26.3251279,1.263251279,1.186730816,NA,NA,NA,NA,NA,NA,1.486318851,NA,NA,NA,1.128898167,1.251057282,NA,NA,NA,NA,3.341666667,3.341666667,NA,NA,NA,NA,,Win-Win
360,762,-1.740056818,0.982599432,0.982599432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.509463087,1.58,1.438926174,NA,NA,NA,,Lose-Win
361,762,46.25,1.4625,1.4625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.189561404,0.93,1.449122807,NA,NA,NA,,Win-Mix
362,765,124.2554741,2.242554741,2.242554741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4075,2.4075,NA,NA,NA,NA,,Win-Mix
363,766,-6.352768445,0.936472316,0.936472316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,1.13,NA,NA,NA,NA,,Lose-Win
364,767,-19.84375,0.8015625,0.80156250000000000,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0425,1.0425,NA,NA,NA,NA,,Lose-Win
365,767,28.70639535,1.287063953,1.28706395348837000,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8345,0.8345,NA,NA,NA,NA,,Win-Lose
366,768,-19.84375,0.8015625,0.80156250000000000,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0425,1.0425,NA,NA,NA,NA,,Lose-Mix
367,768,28.70639535,1.287063953,1.28706395348837000,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8345,0.8345,NA,NA,NA,NA,,Win-Lose
368,770,74.48918339,1.744891834,1.744891834,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive ,NA,NA,NA,NA,NA,1.022890192,NA,1.022890192,NA,NA,NA,,Win-Win
369,770,5.383038204,1.053830382,1.053830382,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive ,NA,NA,NA,NA,NA,1.035081575,NA,1.035081575,NA,NA,NA,,Win-Win
370,770,20.11622024,1.201162202,1.201162202,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive ,NA,NA,NA,NA,NA,1.309981685,NA,1.309981685,NA,NA,NA,,Win-Win
371,770,20.51064841,1.205106484,1.205106484,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive ,NA,NA,NA,NA,NA,1.278388278,NA,1.278388278,NA,NA,NA,,Win-Win
375,776,16.1995263,1.161995263,1.103073646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22091688,NA,NA,NA,NA,1.533333333,1.533333333,NA,NA,NA,NA,,Win-Win
376,776,11.94947045,1.119494705,1.228667072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.010322337,NA,NA,NA,NA,1.061666667,1.061666667,NA,NA,NA,NA,,Win-Win
377,778,13.53610585,1.135361059,1.034782609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.046632124,1.078387458,1.437795181,NA,NA,1.079207921,1.030398323,NA,1.030398323,NA,NA,NA,,Win-Win
378,778,5.659141477,1.056591415,1.005797101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.984455959,1.006718925,1.320638554,NA,NA,0.965346535,1.031446541,NA,1.031446541,NA,NA,NA,,Mix-Win
379,779,3.702036549,1.037020365,1.07337151,NA,NA,NA,NA,1.088050314,NA,NA,0.935691318,NA,NA,1.050968319,NA,NA,NA,NA,NA,1.14,1.14,NA,NA,NA,NA,,Mix-Mix
380,779,2.07747032,1.020774703,1.059413028,NA,NA,NA,NA,1.06918239,NA,NA,0.919614148,NA,NA,1.034889247,NA,NA,NA,NA,NA,1.13,1.13,NA,NA,NA,NA,,Mix-Mix
388,784,-7.683582046,0.92316418,0.633879019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.052380952,1.083232568,NA,NA,NA,NA,NA,1.031666667,1.031666667,NA,NA,NA,NA,,Mix-Mix
389,785,23.90848944,1.239084894,1.159054054,NA,NA,NA,NA,NA,NA,1.319115735,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,1.24,NA,NA,NA,NA,,Win-Win
